id;calle;numero_exterior;numero_interior;code_postal;domicilio_actual;manzana;andador;edificio;fecha_antiguedad;codigo_postal
1;Investor Savings;cross-platform synthesizing Electronics;Avon digital card;invoice;Meadows;Borders Ball Serbia;users;scalable Borders;client-server;wireless
2;Lesotho invoice;implement Montenegro uniform;solid Lock;Home adapter user-facing;Handcrafted;system relationships Health;Indiana Sleek Qatar;interfaces whiteboard;bluetooth;Automotive
3;Automotive;data-warehouse Planner;Sleek driver;wireless;transmitting;Account driver Hat;holistic Tuna;Mouse;Licensed initiatives;dot-com Tuna Buckinghamshire
4;compressing;Analyst Robust cyan;Borders Mill;program;Account Sports seamless;bus action-items payment;Georgia;auxiliary 24/365 Puerto;Bermuda payment;monitor Loan
5;leading system;Frozen Route SCSI;Arizona cyan;orange;Berkshire Ohio program;invoice Dynamic;teal Global;Buckinghamshire deposit;whiteboard;Montserrat Mission partnerships
6;1080p;grey Granite mission-critical;Parkway;transparent metrics navigate;reboot Response Solutions;Groves;Syrian Dynamic;Florida Configuration;Future algorithm;SCSI
7;program Norwegian out-of-the-box;Forge exuding Global;reboot;Riel New;platforms Technician;Small;quantify engine;Handcrafted;Synchronised Frozen;withdrawal management
8;Self-enabling;Brazilian;instruction;supply-chains Innovative copying;Markets navigating;EXE;Rubber Fresh Robust;Concrete Islands;Fish Louisiana Cross-platform;Wooden
9;Chief Borders;synthesizing Somoni viral;Global;eyeballs;hacking Soap;Music Wooden;bypass e-enable;virtual Ouguiya;toolset up;Data
10;up;Carolina Jersey;reboot plug-and-play National;quantify Electronics;bricks-and-clicks;Loan;contextually-based;violet Bedfordshire;Rwanda;Handcrafted
